username,push,status,cuda,gpu,cap,count,note
jacelljamble,ok,COMPLETE,false,,,0,
abdelrahmanatef5172,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
aishwarya2060,ok,COMPLETE,false,,,0,
arvindhbabuv,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
asdsaasda,ok,COMPLETE,false,,,0,
bonshallangthasa,ok,COMPLETE,false,,,0,
Scribedpengenius,fail,?,,,,0,Authentication required to call the Kaggle API.
CHIRANJEET121,fail,?,,,,0,Authentication required to call the Kaggle API.
cid007,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
amannindra,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
gabrielgomez9889,ok,COMPLETE,false,,,0,
gharsallahislem,ok,COMPLETE,false,,,0,
gharsallahislem,ok,COMPLETE,false,,,0,
harshil456,ok,COMPLETE,false,,,0,
imanebenzegunine,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
kullanici_adiniz,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
Loldeluis,ok,COMPLETE,false,,,0,
maryemelhouche,ok,COMPLETE,false,,,0,
mohharidy,ok,COMPLETE,false,,,0,
mikoajkurtyka,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
nileshb1,ok,COMPLETE,false,,,0,
nity05,ok,COMPLETE,false,,,0,
rashmikabandara,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
rishabhsurana0456,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
kanushigupta ,ok,COMPLETE,false,,,0,
your_username,ok,COMPLETE,false,,,0,
shouqiangwu,ok,COMPLETE,false,,,0,
sumanyuashtaputre,ok,COMPLETE,false,,,0,
TGajewski09,ok,COMPLETE,false,,,0,
test,fail,?,,,,0,Authentication required to call the Kaggle API.
jaoukaggle,fail,?,,,,0,Authentication required to call the Kaggle API.
akritisingh01,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
anamoniz,ok,COMPLETE,false,,,0,
andreeatomescu,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
NoelCampbell1,ok,COMPLETE,false,,,0,
alice,fail,?,,,,0,Authentication required to call the Kaggle API.
aliounekane,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
bunnyreddyr,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
carolinaspsilva,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
rickyma1028,ok,COMPLETE,false,,,0,
chandradrawing,ok,COMPLETE,false,,,0,
oncell,ok?,TIMEOUT,,,,0,拉日志失败:Command failed: kaggle kernels output on
microhum,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
moonberry53,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
james praise,ok,COMPLETE,false,,,0,
karan1208,ok,COMPLETE,false,,,0,
abhishek2fth,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
RobertStudyDev,ok,COMPLETE,false,,,0,
santoshshrestha2037,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
Sanjopp2025,ok,COMPLETE,false,,,0,
kartheektelikepalli,ok,COMPLETE,false,,,0,
_,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
phalatlorratthanan,ok,COMPLETE,false,,,0,
shivamansari,ok,COMPLETE,,,,0,拉日志失败:Command failed: kaggle kernels output sh
shivamansari,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
shivamansari,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
shivamansari,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
shivamansari,fail,?,,,,0,urllib3.exceptions.SSLError: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in
shivamansari,fail,?,,,,0,urllib3.exceptions.SSLError: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in
shivamansari,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
shivamansari,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
udayavahinip2482463,fail,?,,,,0,urllib3.exceptions.SSLError: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in
zenianouphal,ok,COMPLETE,false,,,0,
vinayak23597,ok,COMPLETE,false,,,0,
luciofeest,fail,?,,,,0,Authentication required to call the Kaggle API.
yalon5,ok,COMPLETE,false,,,0,
k221030116,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
tanishk05,ok,COMPLETE,true,Tesla P100-PCIE-16GB,6.0,1,
